epoch,acc,loss,val_acc,val_loss
0,0.78488,0.4575355846405029,0.82608,0.38920263292312623
1,0.87572,0.30438256379127504,0.83056,0.38593530780792235
2,0.9148,0.21884088217377662,0.81196,0.4292103217792511
3,0.94148,0.15445899159550666,0.82736,0.4508233725738525
4,0.95956,0.11127958585917949,0.81716,0.6297878288936615
5,0.9728,0.07874998329602181,0.815,0.6965354658007622
6,0.98204,0.05155930210724473,0.81296,0.7406493653535843
7,0.98408,0.04642810621902346,0.81848,0.6711376217937469
8,0.9904,0.030403070120997727,0.81504,0.8499375651490688
9,0.99168,0.025176425440534948,0.81504,1.0510116519495845
10,0.99328,0.02031417662431486,0.81204,0.923367772052288
11,0.99368,0.019698809980228542,0.81484,1.084424804084897
12,0.99672,0.010355259710804676,0.81368,1.1931862744928896
13,0.9964,0.010988218945222906,0.8058,1.1143535982954502
14,0.99636,0.011694143313667736,0.80828,1.1088440019330383
